Age,2010,2015,2020,2025
0-4,521990,535209,545778,547336
5-9,477039,501640,516006,527690
10-14,471909,457567,482453,497610
15-19,539844,505783,492532,519298
20-24,647483,646075,606203,591683
25-29,736105,770396,763956,715824
30-34,667657,707726,743916,740268
35-39,592299,611239,649594,684249
40-44,571825,550097,569628,606185
45-49,570273,535998,517668,537516
50-54,546204,552074,520597,504322
55-59,479661,493997,501239,474319
60-64,418127,449279,464187,472842
65-69,299533,353131,380864,395585
70-74,236401,256786,304072,330132
75-79,179677,192687,210236,251182
80-84,143726,129798,139658,154606
85-100,142871,147632,142385,149319
Total,8242624,8397114,8550972,8699966